tweet_id,author_id,text,created_at,retweets,likes
1865364710268256498,1098927112206073856,"El simbolismo indeleble de Antonio Maceo es paradigma para los cubanos hoy y siempre, continuamos fieles a la decisión de defender lo alcanzado por nuestra Revolución inspirados en el permanente ejemplo del Titán de Bronce.
#Cuba 
#CubaViveEnSuHistoria https://t.co/ADnzLIf2pb",2024-12-07 11:56:18+00:00,0,0
1865364708980642296,1586394634183446534,@E_N_Z_0O @cb_doge Super bullish on $ROT,2024-12-07 11:56:18+00:00,0,0
1865364708057907205,1862067337836261376,@IlaydaAgri @MartiniGuyYT @Brettness_OG #Brettness is looking super bullish.,2024-12-07 11:56:17+00:00,0,0
1865364706409709735,1647938045730238464,"RT @ValarantAI: Can Koichi survive Caius's titan dick?

#AIart #AIイケメン部 #AIイラスト #bl #yaoi #gay #nsfw #r18 #Caius #Kouichi #TheTitansBride h…",2024-12-07 11:56:17+00:00,195,0
1865364705197293919,2822336424,RT @rishibagree: Your Telangana Congress Govt has signed ₹12000 crore MoU with Adani this year.,2024-12-07 11:56:17+00:00,392,0
1865364703876133357,1863744287101341697,@zenayushx @LevisNFT Bullish,2024-12-07 11:56:16+00:00,0,0
1865364702911447137,1321060078175203328,"RT @rajuparulekar: INTERNATIONAL FUGTIVE ‼️

1. USA 🇺🇸 Indicted Gautam Adani and also issued arrest warrant against him. 

2. Kenya 🇰🇪 thre…",2024-12-07 11:56:16+00:00,169,0
1865364702462918798,1839219783923068928,"$SOLSANTA LIVE NOW💙🚀

CA:
8TFv79J2Kd2Cp2tboiDZ1GnmaTBkN3JNJEnjQavSpump

CHART:
https://t.co/vA6dKFm2C4

🔘https://t.co/JAlFniWJSA
🔘https://t.co/4y0h3wrpsZ

#SolanaSanta #SOLSANTA #Santa #Meme #memecoin #Memes #Solana #SOL #Tranding #Pumpfun #moon #BULLISH https://t.co/wR8vhKj1dU",2024-12-07 11:56:16+00:00,0,1
1865364701959569710,1478327032773689344,"RT @lilybrodi: cardano is not a cult 

we're just so bullish

$ADA

 https://t.co/ZY0ktPA5kw",2024-12-07 11:56:16+00:00,112,0
1865364700399026522,70933063,"RT @StockSavvyShay: 🚨 $ZS Q1 Earnings Update 🚨

• Sales $628M vs Est. $606M
• EPS $0.77 vs Est. $0.63
• FCF $291M vs Est. $211M
• Billings…",2024-12-07 11:56:16+00:00,22,0
1865364699367587883,761154442628444160,"Luxury Apartment: ಬೆಂಗಳೂರಿನಲ್ಲಿ 2ನೇ ಫ್ಲಾಟ್ ಖರೀದಿಸಿದ ಇನ್ಫೋಸಿಸ್ ನಾರಾಯಣಮೂರ್ತಿ! ₹50 ಕೋಟಿಯ ಈ ಬಂಗಲೆ ವಿಶೇಷತೆ ಏನು?
#LaxuryApartment #Infosys #NarayanaMurthy 

https://t.co/7MljDJ4gyR",2024-12-07 11:56:15+00:00,0,0
1865364695995052495,1865364186844270592,@narendramodi Zomato deliver wrong food,2024-12-07 11:56:14+00:00,0,0
1865364695722385789,1805275548291100675,"@PriscilaOnSol Bullish on this project... I have some valuable ideas to share with you to take this to the moon.

Let's get in touch?",2024-12-07 11:56:14+00:00,0,0
1865364694623572026,1602178304576000000,@E_N_Z_0O @cb_doge Bullish ASF 💥😎,2024-12-07 11:56:14+00:00,0,0
1865364690945327421,1793005472171036673,"RT @TheWillyDefi: @Cryptoarena001 @SanXz_9 I am super bullish on #Suimer_dog  
Get your bags filled
CA: 0x75b81bc95dbe9944fd1165b9fcd529c54…",2024-12-07 11:56:13+00:00,2,0
1865364690211131577,1816167496216399872,"RT @Nukcognito: 🚨BREAKING: GROK Token has hit a new ATH in holders! It is nearly 4X away from all time high Market Cap but strength, growth…",2024-12-07 11:56:13+00:00,16,0
1865364688483008559,1174652737058955269,"RT @IzquierdaPinera: ‼️Un día como Hoy‼️- pero de 1896, caen en combate el mayor general Antonio Maceo y Grajales y el capitán Francisco “P…",2024-12-07 11:56:13+00:00,17,0
1865364688042594805,378830038,@Celesweb3 Bullish comments across the board,2024-12-07 11:56:13+00:00,0,0
1865364686855610515,1652558551800332288,"RT @MBilasl3: @RuneCrypto_ Bag more $HODL 

J9SXKctbZVws65vjBHL91mqStzq5an1xZxdi6a4h853o

My main investment and retirement plan 
Super bul…",2024-12-07 11:56:12+00:00,8,0
